model,selection,tau,precision,recall,f1,alerts_per_hour,lead_time
GBM,max_f1,0.45,0.3978912319644839,0.6045531197301856,0.4799196787143806,2.887704819518449,95.0
GBM,recall>=0.90_min_alerts,0.35,0.2962219993313273,0.7470489038785835,0.42422791477096033,4.793077200432675,145.0
CNN,max_f1,0.65,0.1873315363881401,0.7988505747126436,0.3034934497813515,7.891751359016781,191.0
CNN,recall>=0.90_min_alerts,0.35,0.121285140562249,0.867816091954023,0.21282593375595113,13.241550460883952,216.0
CNN+Uncertainty,max_f1,0.48,0.0823723228995057,0.5747126436781609,0.14409221901995353,12.911841172299692,181.5
CNN+Uncertainty,recall>=0.90_min_alerts,0.45,0.0720606826801517,0.6551724137931034,0.12984054669686015,16.82580950129993,204.0
