model,split,auroc_mean,auroc_std,auprc_mean,auprc_std,source
CNN,test,0.8189176942967175,0.002125427655030503,0.3489821075155883,0.008523794293389524,reports/nn/cnn_results.json
GBM,test,0.8412415260137236,,0.38805296622567315,,reports/gbm/gbm_results.json
