ref_case_min,ref_case_max,mon_case_min,mon_case_max,ref_auprc,mon_auprc,ref_auc,mon_auc,ref_alert_rate,mon_alert_rate,ks_stat_p_mean,ks_p_p_mean,ks_stat_p_std,ks_p_p_std,data_drift,perf_drift,retrain_recommended,flag,consecutive_flags,retrain_triggered
16,46,67,116,0.3049110323611815,0.1773025166173085,0.7303869315027676,0.7323827911230851,0.2674418604651162,0.1876144688644688,0.1964722437106158,1.1247337278744004e-175,0.0371577733496338,1.1924908981834204e-06,True,True,True,1,,False
26,76,89,138,0.2863362533554676,0.2072299587903635,0.743771872985451,0.7103153504418923,0.2222736102118213,0.2723384030418251,0.056471158617842,3.2030687947914737e-15,0.0284567049544314,0.0003482603487272,True,True,True,1,,False
41,98,101,185,0.1897982518899261,0.2231161283702623,0.7102865052171051,0.7196356111633362,0.1906921241050119,0.277122535338075,0.1432414313104918,5.674977892455911e-86,0.0297480700317351,0.0004176028244218,True,False,True,1,3.0,True
