alerts,alerts_per_hour,precision,event_recall,median_lead_time_sec,p90_lead_time_sec,tau
1245,13.241550460883952,0.121285140562249,0.867816091954023,216.0,279.0,0.35
1120,11.912077523044196,0.13392857142857142,0.8620689655172413,209.5,278.0,0.4
1035,11.008035925313164,0.14492753623188406,0.8620689655172413,205.0,283.1,0.45
988,10.508154100685417,0.1508097165991903,0.8563218390804598,199.0,279.6,0.48
948,10.082722760576695,0.1571729957805907,0.8563218390804598,200.0,284.0,0.5
919,9.774285038997872,0.15995647442872687,0.8448275862068966,205.0,284.8,0.52
898,9.550933585440793,0.16369710467706014,0.8448275862068966,205.0,282.8,0.54
873,9.285038997872842,0.1672394043528064,0.8390804597701149,202.5,281.0,0.56
846,8.997872843299456,0.17257683215130024,0.8390804597701149,198.5,279.0,0.58
817,8.689435121720633,0.1762545899632803,0.8275862068965517,195.5,276.80000000000007,0.6
788,8.38099740014181,0.1814720812182741,0.8218390804597702,187.0,273.4,0.62
742,7.891751359016781,0.18733153638814015,0.7988505747126436,191.0,276.4,0.65
